term_id	METABRIC	TCGA	combined	instruct
GO:0060079	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0071345	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0071346	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0097237	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0098657	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0098869	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0098900	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0098916	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099003	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099177	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099500	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099504	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099536	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099537	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0099643	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0120254	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0140029	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:0140352	1	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:1900048	0	1	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:1901652	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:1903530	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:1990748	0	0	1	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
GO:2001237	1	0	0	piechart: attributelist="METABRIC,TCGA,combined" colorlist="#FFD636,#009747,#CACCCD" showlabels=FALSE
