Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
MB.0189	0.00990559010619881	0.0175582160154504	0.0278562195756899	0.176209983174478	0	0.108191040009993	0.0118110565036926	0.0568786991890672	0	0	0	0.0609874059678499	0.0847629924564451	0.0283814417877083	0.102994029096803	0.17065854920319	0.00845035966129977	0	0.135354417252134	0	0	0	0.2	0.067221413231393	1.05723588358407
MB.0891	0.0154857026838496	0	0.0346208702443851	0.0714061064692397	0	0.1275716471715	0	0.0740649008239553	0	0.0709663368660479	0	0.0516620913511131	0.036970352699782	0	0.113725719702048	0.150132370885896	0.00249943394700935	0	0.223544021099245	0.0273504460559291	0	0	0.214	0.063267707136107	1.06902919483509
MB.0658	0.0358825298275696	0.0218575227170123	0	0.160355088361343	0	0.0887160659288368	0.0224862562436143	0.0701321516639215	0.0245278181550219	0	0	0.0538912211583015	0.0108188229325037	0.109460351735401	0.192988308248503	0.14053545428067	0.00878719691526038	0	0.059561211832041	0	0	0	0.0580000000000001	0.156397704013051	1.0398803401955
MB.0899	0	0.0106685492266062	0.0368466566636673	0.108510232889292	0	0.0906394819015437	0	0.0492958503898646	0.0264400629734101	0.0442802513609315	0	0.0814822767792175	0.0143144786223932	0.131209139985843	0.0635059899009801	0.199458096452725	0.0400481233151398	0	0.100457627408042	0.00195348801950923	0	0.000889694110835256	0.198	0.0684477504130883	1.05971549568418
MB.0605	0.0536103098067201	0	0.0608723071332176	0.124714243743278	0	0.0458911077887177	0	0.0238829105983253	0.000327975481573574	0.00585656881052188	0	0.0489483689899959	0.101817984363037	0	0.0546585950931443	0.252672544021259	0	0.000730365366227523	0.15536640698405	0.0666289186317353	0	0.00402139318819701	0.282	0.0492276166778485	1.06485679044045
MB.0258	0.0360123710518427	0	0.0175135284228477	0.147877481985155	0	0.111839188521403	0	0.0509863368682553	0.0177733574297259	0.0947507967643936	0	0.0240389044499336	0.0630807596580933	0	0.237933909978411	0.134951177569687	0.00626834130325732	0	0.0569738459969947	0	0	0	0.186	0.0758790856867394	1.09463262941681
MB.0506	0	0.0244773952966613	0.0406859290647307	0.0311292781030892	0	0.141683610779079	0	0.0499296359134345	0.0334516564841648	0	0	0.0669107100281167	0	0.197200392609335	0.081398301868579	0.175333347321979	0.00834278399117215	0	0.149456958539658	0	0	0	0.086	0.120497558090168	1.03857238864708
MB.0420	0.0185155157234201	0	0	0	0	0.11327605296691	0	0.0453663077733714	0.0226345763907221	0.00443669239880754	0	0.0406816940479342	0.0470596612178717	0.187048347456925	0.0748083812267647	0.420629574672558	0	0	0	0.0255431961247156	0	0	0.072	0.138862917321381	1.05965111204077
MB.0223	0	0.000358484408672958	0.209330397367728	0.119600036891728	0	0.0407871325701158	0	0.0745508232289391	0.0241398618161144	0.0703840180771278	0	0.022891038345103	0	0.122578729367384	0.0650759667458598	0.237655268240864	0	0	0.0033255891883396	0.00932265375202376	0	0	0.136	0.0943967283583666	1.0564471092838
MB.0445	0.0336900176741248	0	0.0280872990697616	0.0490568900652804	0	0.0874186435664134	0.00783919388890586	0.0540495830038626	0.0655047039581898	0	0	0.0744368448544392	0.0526010751592848	0.0616683697714205	0.0551601882240685	0.157426135846331	0.0940076490061815	0.000895473431323139	0.178157932480413	0	0	0	0.262	0.0524120560888075	1.05319826036001
MB.0199	0.00507568470015704	0	0.0247462488599666	0.0600149614483534	0	0.152078905857731	0	0.0576707947460883	0	0.0578495221874524	0	0.0672099618710547	0.00133727905398485	0.140726403810764	0.0621559662637426	0.146928151480828	0.0191638993324344	0	0.205042220387442	0	0	0	0.2	0.0670416902738076	1.06162867992572
MB.0517	0.0511943668203651	0	0.0604384556790219	0.0738141434521314	0	0.0864679798378151	0	0.0523423240700345	0.00107742309686526	0.0201630643612222	0	0.065707151711028	0.0714251503916587	0	0.0158457437758937	0.197289902392323	0	0	0.304234294411641	0	0	0	0.174	0.0803270820676398	1.05692874241469
MB.0155	0.0207083065881705	0	0.0674477207186706	0.0721209339210047	0	0.0691180608277225	0	0.0547526923867153	0.0118663678742369	0.14281351538903	0	0.0503597216358399	0.114330065606901	0.0515788429690541	0.0861163623879586	0.13550509550475	0.00195407829420704	0	0.121328235895739	0	0	0	0.15	0.0895610564171655	1.04924940105844
MB.0428	0.0472352357945516	0	0	0.157966129447885	0	0.0908283796576094	0.0550496962492656	0.0453083253536584	0.0235629341132598	0.0713966878775759	0	0.0404610470831337	0.0131312893506144	0.0668315507849731	0.190073775634363	0.130780086263848	0	0	0.0673748623892622	0	0	0	0.052	0.16785951323371	1.03689904219452
MB.0117	0.00668550609779709	0	0.189463818511844	0.0661451262474577	0	0.116569325999132	0	0.0662373980941797	0	0.0983922249083749	0	0.0236056551646957	0.0186712943316648	0.0387601362549129	0.102113015406889	0.0733680840909371	0.00720040234643975	0	0.17815661800004	0.014631394545636	0	0	0.044	0.177584546432337	1.01664091012813
MB.0906	0.00467840990168596	0	0.369031709966945	0.0299081863882152	0	0.00342886953927834	0.0817309393268042	0.0310249581831431	0	0.0729507511832169	0	0.0544742920950626	0.00383645959913902	0.118212490917093	0.0524805683115783	0.10592164942873	0.00178893167062175	0.013310771458383	0.0572210120301045	0	0	0	0.012	0.274102338024757	0.990774079166401
MB.0249	0.0180719368368554	0.0312886331928805	0	0	0	0.0643208087519355	0	0.0971695040798727	0	0.0560364035261295	0	0.0115441541908901	0	0.395503482538589	0.118068834740943	0.166217476755821	0.00976017057002933	0	0	0.0320185948160534	0	0	0.084	0.122976260565615	1.07963441498369
MB.0660	0	0.00639898673829725	0.0344233900206287	0.0871216717391848	0	0.0615544903885134	0	0.0662903765995109	0.00415941461915344	0	0	0.0725672232278488	0.0378239941487414	0	0.127582613475587	0.31106725355984	0	0.0579963294551436	0.0964055039833853	0.0192195512175817	0	0.0173892008265846	0.116	0.104665694520574	1.0510728475614
MB.0497	0	0.0504074760500826	0.018513683195403	0.0561732009923568	0	0.172754101628626	0	0.0654399226007228	0.0246299516323095	0.0449403044708051	0	0.0607401766742459	0.0300028271625279	0.0857810358870363	0.0872169305842981	0.115724357385603	0.00314730374321889	0	0.184528727992765	0	0	0	0.146	0.0919667508710067	1.04718260276484
MB.0434	0	0.00347211584376369	0.0442580928400572	0.0210175512789368	0	0.0545705678495908	0	0.0753923508452802	0	0.00547137729900299	0	0.0774073454857142	0.0262237309753333	0.214758139275721	0.10807855639858	0.23833729161078	0.00712498065581499	0.00451814537518539	0.100308980862127	0.0123298557456702	0	0.00673091765844138	0.418	0.0224916919725616	1.09324877314303
MB.0143	0	0.0547397356501774	0	0.0971761838836341	0	0.108103359729367	0	0.10124458642715	0.0194767356075658	0	0	0.0434531895407816	0.00466066380850169	0.0431779452326156	0.112530535630034	0.238179969265643	0.0178081604716482	0	0.154355645414468	0	0	0.00509328933841418	0.292	0.0476599969202386	1.06530006486274
MB.0513	0	0	0.00901312924377063	0.0598374644523889	0	0.129249213531334	0	0.0723635697021759	0.00477268779943733	0.0276897031435763	0	0.0795686036628526	0.0289144983865324	0.0078998545697404	0.0928981345395045	0.309257611167696	0.00691473997736084	0	0	0.160863283887963	0	0.0107575059356666	0.328	0.0400449472314584	1.09302827509978
MB.0541	0	0.0108790104094647	0.223322205888824	0.0127610478826816	0	0.125140088949924	0	0.0253653919822867	0.0239633723324828	0.0745908626647944	0	0.0593901589035571	0.0239687009307956	0.10046379187286	0.122128180323177	0.118327171148247	0.0163204619604195	0	0.0633795547504859	0	0	0	0.074	0.134868392673461	1.03811615015925
MB.0653	0	0.00464252347821023	0.00432403359147404	0.00811492123134415	0	0.0318364824523369	0.0755112716578245	0.0918543491361556	0	0.136227264765156	0	0.0246397752538421	0.0868984828011892	0.238046817858645	0.120102767172656	0.146764527127032	0	0	0	0.0300620609321452	0	0.000974722541989265	0.112	0.108478314749559	1.06033388212804
MB.0455	0	0.108947887319991	0.0095378991858033	0.107700556655957	0	0.116169763404466	0.0373771818988934	0.0725743736010678	0	0.0562291342693225	0	0.0651012455145374	0.00180102793777137	0.109591900582563	0.122453292480655	0.104561412646533	0.0394049696175127	0	0.0485493548849262	0	0	0	0.056	0.15934302068525	1.02568322348299
MB.0540	0.00414491965500542	0.17957825723542	0	0.119526741638289	0.143714107853682	0.153795631300897	0.0888941429470256	0.0511939251236337	0.0483848322029635	0.00785504843624895	0.0137456595960653	0	0.00313710992947206	0.0367026808145898	0.0331261595714243	0.0849901828494893	0.00541458601091896	0.0134675121894046	0.0123285026454702	0	0	0	0.044	0.179496468680122	1.02338724874827
MB.0384	0.0623389432245598	0	0.00992508701754259	0.052454214294138	0	0.198568995061413	0	0.0253843961277581	0.0154728039418725	0.00539685662391457	0	0.0390419959942194	0.00903346402590794	0.100546975202851	0.109048447722756	0.303187036000974	0	0	0.0621514074611764	0.00744937730091618	0	0	0.164	0.0832316969877054	1.05821426948051
MB.0637	0	0.0226560084568914	0.10310502386744	0.0240609083459224	0	0.140539517095033	0.0128253625966009	0.0549516307125682	0.00422446536110317	0.0384106549578691	0	0.0686365994597791	0	0.166374597699773	0.162270557748445	0.147928582874158	0	0	0.054016090824416	0	0	0	0.082	0.125830814336605	1.04600457399831
MB.0157	0	0.0028921405920903	0.0192244822840519	0.188067965703477	0	0	0.100173368726906	0.0524302212583768	0.0125008671353753	0.0106384454714083	0	0.124472252887045	0.00835162960169014	0.0895446386046508	0.222036129717518	0.12283364616247	0	0.0284263944275342	0.0182601501099642	0	0	0.000147667317442275	0.0679999999999999	0.14559292151364	1.07136479095752
MB.0443	0.0435392300963718	0	0.00350589049734496	0.150481343251816	0	0.328207793223621	0	0.0181125594325303	0	0.115759124408372	0	0.0370560236330802	0.0328657560145077	0.0424247208418378	0.101793848761068	0.0945644974856845	0.00718725198046112	0	0.00264906448366017	0.0218528958896446	0	0	0.026	0.202130540956779	1.02793091378918
MB.0584	0.0215153538513388	0.0070171435658052	0	0.086583768213868	0	0	0	0.106373104373743	0	0.10926825012339	0	0.0813441789157181	0.028943415230189	0.0995784743843064	0.0625142725466745	0.277609841089604	0	0	0	0.114462929882783	0.00478926782257893	0	0.118	0.103642102191684	1.06523242320299
MB.0292	0	0.0137361949914712	0.00122070280851464	0.0218664304985937	0	0.148497405837901	0	0.034790507259058	0.020922269734357	0	0.00459761572733001	0	0.00673024400373943	0.299813093894177	0.0537899519935465	0.270319981546974	0.0567255397713391	0	0.00657604908657231	0.0577530997010637	0	0.00266091314536176	0.118	0.102738387307599	1.07829282525153
MB.0322	0.000874768723423916	0	0.0223947141191556	0.0888425457478519	0	0.0909313906161544	0	0.0827674799126697	0.0552986520915325	0	0	0.0391994369424854	0.0369874667985275	0	0.08670783355238	0.316529944067691	0.0206376300099311	0	0.149755381260598	0	0	0.00907275615759863	0.338	0.0376725168871535	1.0674160515925
MB.0501	0.00357492677616992	0.00198551047453428	0.00475287210450621	0	0	0.0837007077653833	0	0.0582706473127193	0	0	0	0.0525794235173917	0.155238647525048	0	0.0235105963727438	0.55156738101214	0	0.000208050818317788	0.0200826690656183	0.0425736036410434	0	0.00195496361438427	0.376	0.0311686025015478	1.11166669460542
MB.0401	0.0113655302655865	0.00274674439821067	0	0.0497010726023874	0	0.158305699984398	0.0392493681029261	0.0567732431367666	0	0.0335069748266036	0	0.0885061967014199	0.0149100655794532	0.165363582685211	0.085282994654829	0.20954430210993	0.0242097441167972	0	0.048513013453665	0.0063789820962372	0	0.00564248528557888	0.106	0.110720386848043	1.05052239265535
MB.0140	0.00921289193003162	0	0.0340815773440846	0.0434630057187282	0	0.146229018648545	0	0.0620102554020425	0	0.0222812220271605	0	0.028174545247179	0.00812988683896677	0	0.0948374966684457	0.415379033048322	0.0143656083236134	0	0.0390155970801519	0.0794237048573228	0	0.00339615686540508	0.266	0.0517531597132375	1.07624863661627
MB.0606	0	0.0847650781470222	0	0	0	0.0891706642166392	0	0.0743114621021345	0.0929264976636986	0	0.00940107095545061	0.0423920087826925	0	0.132260360875199	0.179915594937105	0.265530152541247	0	0	0.0197067859496802	0.00823766220612793	0	0.00138266162300362	0.202	0.0666444860474909	1.08070234212422
MB.0666	0	0.00049989195297408	0.0275857213293484	0.125524231015092	0	0.145877398173026	0	0.129659336542067	0	0.0171161391620438	0	0.0718957753790017	0.00620101891662537	0.062544153232547	0.157168180374274	0.168619179012929	0	0	0.0851820301429791	0	0	0.00212694476709216	0.19	0.0729783545188301	1.07230450787876
MB.0598	0.0120286764841715	0.00195508628883433	0.00834292237401549	0.0511270410253263	0	0.108914731170195	0	0.0556087789849693	0.0168693324007512	0	0	0.073856990009709	0.0776543783802467	0	0.0945041336447939	0.272997834393899	0.000535944925703963	0.00836907490705089	0.213484703977173	0	0	0.0037503710331605	0.164	0.0832303058066144	1.05421343386332
MB.0453	0.00686755506174533	0	0.00478113270675129	0.144789166237243	0	0	0	0.0777365059800368	0	0	0	0.0375134340147694	0.0101749294720323	0.337141218155004	0.0461249700545506	0.22284945192637	0	0.0523222986115858	0	0.059699337779912	0	0	0.172	0.080646351726306	1.0922996481035
MB.0138	0.0185586736584715	0	0.169973310044716	0.0527430873253638	0	0.171933055365365	0	0.0472141031936892	0.0153995965713802	0.0214398734994161	0	0.0359241328533026	0.00957538304256152	0	0.0971065477400148	0.14422039758094	0	0	0.215911839124779	0	0	0	0.182	0.0766641994020866	1.05506208160865
MB.0579	0.0544107459743803	0	0.00334549039267315	0.0153403906236756	0	0.0275346624450079	0	0.0641330662649978	0.0190191776783286	0.0107197455525279	0	0.0222491777003972	0	0.319311443115844	0.0374820211061424	0.3067192597085	0	0	0.109790228228759	0.00490778520150399	0	0.00503680600726197	0.086	0.11927723212404	1.07066915195224
MB.0405	0	0.0158442342503389	0.00545789800243893	0.0554956097896685	0	0.106393535200063	0	0.14679293730755	0	0.00958198745459985	0	0.0515263967645138	0.0550942069014603	0	0.0957923950159364	0.359006294749028	0.00851699456774231	0	0.0904975099966601	0	0	0	0.336	0.0380575713444915	1.07370492651104
MB.0471	0	0.0412597180973644	0	0	0	0.0422936682328667	0	0.0657719295327993	0.018575522665929	0.00488359183756487	0	0.0455963426186708	0	0.302829567117865	0.0351976441876188	0.298277952631362	0.00313337477488754	0	0.023672090197214	0.111299271064988	0	0.00720932704087019	0.28	0.0494502654328298	1.11355642424386
MB.0347	0	0	0.0430165497752447	0.1863253464969	0	0.0122858354674125	0.0382997547965261	0.04670848906423	0	0.108577538701885	0	0.0175980061613374	0.0151698162571283	0.192903597732621	0.0732556870338782	0.235441728742518	0.00886012543842222	0	0.021557524331896	0	0	0	0.054	0.163878515751649	1.03084932867501
MB.0619	0.0544365737483982	0.0561320291470161	0.027150905769407	0.202137822166086	0.0296562685859525	0.0722300782096004	0.0107609020151133	0.105757415968307	0.00994161502205631	0.00292667721238243	0	0.0466954325671726	0.0201556336479869	0.0607503808750989	0.129225922578099	0.099053276539719	0	0	0.0729890659476032	0	0	0	0.092	0.115798399645582	1.04640902269055
MB.0171	0	0.00628722163440876	0.0683195809290345	0.103707971944573	0	0.15575768788103	0	0.0819774252339533	0	0.06759389270485	0	0.0720827761583062	0.0262775269378841	0	0.0779856532235635	0.154861851008282	0.00637698173704705	0	0.123662080034271	0.0513221041294815	0	0.00378724644331523	0.2	0.0677272430322243	1.06511543572043
MB.0310	0	0.0555646821679542	0.0206418907097565	0.0337704532474592	0	0.183738066187724	0	0.113167048111449	0	0.102205116493808	0	0.0638019689825038	0.00373344332731185	0.0182928185413309	0.0890512009569963	0.13957323207894	0.00720152439175289	0	0	0.169258554803012	0	0	0.118	0.103855222035864	1.06357389898264
MB.0621	0.0752184368387048	0	0.0476069025106659	0.143075869605218	0	0.0451984135860491	0	0.0591753085824988	0	0.0205352883440361	0	0.0615425397620894	0.013633880191153	0.0760057510263762	0.0582842889736155	0.210487252178915	0	0	0.189236068400678	0	0	0	0.2	0.0670233808586179	1.05425750793305
MB.0614	0.0471465374078729	0.00594173370711392	0	0.171224221584478	0	0.137158393047506	0.000503014329086493	0.0983562436605056	0	0	0	0.0948855194852891	0.0614544022440343	0.0682424799170544	0.182475965416572	0.0815983227758684	0.0180167078735696	0	0.0329964585510492	0	0	0	0.054	0.16193303788707	1.04310493837493
MB.0372	0	0.0132928291547635	0	0.149566065687864	0	0.016808043708738	0	0.0972976779007112	0.0338137765039508	0.0348768589670366	0	0.125196620487649	0	0	0.046303343403954	0.28374010431939	0.129287248668082	0.0276832229601002	0.0371255169389708	0	0	0.00500869129878964	0.18	0.0776570048374141	1.06755699291582
MB.0374	0.029321457453166	0	0.00481164288420273	0	0	0.103673179322345	0	0.0611605093781894	0.042165485024325	0.0445241121264434	0	0	0.00296965672385814	0.202492224198234	0.063958002708318	0.252516894334893	0	0.0132834609637911	0.0466706615214463	0.121645044243697	0	0.0108076691170904	0.084	0.123997612480406	1.05230363629773
